"id","slug","tactic","sub_tactics","name","price","countries","campaign_briefs","isDefault","type","isActive","product_features","publications","languages","radio_stations","categories","quantity","cart_items","regions","new_tab","product_info","product_detail_url","product_image","isTop","order","description","createdAt","updatedAt"
"197","press_release_spanish","{""id"":1,""key"":""pr_distribution"",""value"":""Press Release Distribution"",""createdAt"":""2023-12-12T13:33:14.515Z"",""updatedAt"":""2024-01-15T11:05:27.791Z"",""terms_conditions"":""**# Test for PR**\n1. First Pointer for PR\n2. Second Pointer for PR"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[]","Translation of press release into Spanish (up to 500 words)","150","[{""id"":3,""key"":""spain"",""value"":""Spain"",""language"":null,""createdAt"":""2023-12-13T07:42:45.464Z"",""updatedAt"":""2023-12-22T17:28:36.098Z"",""order"":null}]","[]","false","add_on","true","[]","[]","[]","[]","[]","null","[]","[{""id"":1,""key"":""europe"",""value"":""Europe"",""createdAt"":""2023-12-12T13:45:30.091Z"",""updatedAt"":""2023-12-13T07:40:46.092Z"",""order"":null}]","true","null","null","null","true","null","null","2023-12-22T19:20:44.230Z","2023-12-22T19:44:35.425Z"
"1","basic_pr_italy","{""id"":1,""key"":""pr_distribution"",""value"":""Press Release Distribution"",""createdAt"":""2023-12-12T13:33:14.515Z"",""updatedAt"":""2024-01-15T11:05:27.791Z"",""terms_conditions"":""**# Test for PR**\n1. First Pointer for PR\n2. Second Pointer for PR"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[]","Basic - Italy","1300","[{""id"":1,""key"":""italy"",""value"":""Italy"",""language"":null,""createdAt"":""2023-12-12T13:53:03.655Z"",""updatedAt"":""2023-12-20T11:24:55.646Z"",""order"":null}]","[{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null},{""id"":3,""ques_uuid"":""ca12e3d0-f873-4dd5-85e1-29e282d8863f"",""question"":""Is your press release ready?"",""input_type"":""file"",""isReady"":true,""createdAt"":""2024-01-15T13:45:04.399Z"",""updatedAt"":""2024-01-15T17:32:34.157Z"",""instructions"":""Download the Briefing form and Upload it after filling all the details\n[https://drive.google.com/uc?export=download&id=e](link)""}]","true","product","true","[{""id"":1,""key"":""Translation of the English press release into Italian"",""value"":""false""},{""id"":2,""key"":""Sending to targeted media lists"",""value"":null},{""id"":3,""key"":""Distributing via press via news agency (Adnkronos)"",""value"":null},{""id"":4,""key"":""Guaranteed coverage on the leading regional news portals"",""value"":""false""},{""id"":5,""key"":""Total online coverage guarantee"",""value"":"" 5+""},{""id"":6,""key"":""Coverage report"",""value"":null}]","[]","[]","[]","[]","null","[{""id"":503,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T15:18:58.707Z"",""updatedAt"":""2023-12-22T15:19:08.308Z""},{""id"":517,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T15:34:01.177Z"",""updatedAt"":""2023-12-23T07:55:40.158Z""},{""id"":1012,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-28T14:18:16.049Z"",""updatedAt"":""2023-12-28T14:18:16.049Z""},{""id"":1276,""isParent"":true,""parent_id"":null,""createdAt"":""2024-01-10T11:26:57.060Z"",""updatedAt"":""2024-01-10T11:26:57.060Z""}]","[{""id"":1,""key"":""europe"",""value"":""Europe"",""createdAt"":""2023-12-12T13:45:30.091Z"",""updatedAt"":""2023-12-13T07:40:46.092Z"",""order"":null}]","null","null","null","{""id"":5,""name"":""italy.svg"",""alternativeText"":""Italy"",""caption"":null,""width"":20,""height"":20,""formats"":null,""hash"":""italy_864c62b7fe"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":0.34,""url"":""https://publsh-cms-staging.s3.amazonaws.com/italy_864c62b7fe.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/1"",""createdAt"":""2023-12-19T07:08:40.392Z"",""updatedAt"":""2023-12-20T17:45:52.625Z""}","true","null","null","2023-12-12T15:34:13.875Z","2023-12-22T18:14:07.165Z"
"165","basic_pr_south_korea","{""id"":1,""key"":""pr_distribution"",""value"":""Press Release Distribution"",""createdAt"":""2023-12-12T13:33:14.515Z"",""updatedAt"":""2024-01-15T11:05:27.791Z"",""terms_conditions"":""**# Test for PR**\n1. First Pointer for PR\n2. Second Pointer for PR"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[]","Basic - South Korea","850","[{""id"":15,""key"":""south_korea"",""value"":""South Korea"",""language"":null,""createdAt"":""2023-12-13T07:52:31.309Z"",""updatedAt"":""2023-12-22T17:28:23.383Z"",""order"":null}]","[{""id"":2,""ques_uuid"":""8da138e2-31bc-4db6-aad8-feb830d9578a"",""question"":""Test Attachment"",""input_type"":""file"",""isReady"":true,""createdAt"":""2023-12-18T09:57:31.249Z"",""updatedAt"":""2023-12-18T09:57:31.249Z"",""instructions"":null},{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null},{""id"":3,""ques_uuid"":""ca12e3d0-f873-4dd5-85e1-29e282d8863f"",""question"":""Is your press release ready?"",""input_type"":""file"",""isReady"":true,""createdAt"":""2024-01-15T13:45:04.399Z"",""updatedAt"":""2024-01-15T17:32:34.157Z"",""instructions"":""Download the Briefing form and Upload it after filling all the details\n[https://drive.google.com/uc?export=download&id=e](link)""}]","false","product","true","[{""id"":674,""key"":""Translation of the English press release into Korean"",""value"":""false""},{""id"":676,""key"":""Sending to targeted media lists"",""value"":null},{""id"":675,""key"":""Sent to major search engines (Google, Naver, Zum, Daum)"",""value"":null},{""id"":677,""key"":""Placement on partnered news sites as syndication"",""value"":""false""},{""id"":680,""key"":""Distribution and placement on Korea NewsWire Newsroom"",""value"":""false""},{""id"":678,""key"":""Total online coverage guarantee"",""value"":"" 50+""},{""id"":679,""key"":""Coverage report"",""value"":null}]","[]","[]","[]","[]","null","[]","[{""id"":3,""key"":""asia"",""value"":""Asia"",""createdAt"":""2023-12-12T13:49:42.880Z"",""updatedAt"":""2023-12-12T13:49:42.880Z"",""order"":null}]","true","null","null","{""id"":24,""name"":""south-korea.svg"",""alternativeText"":""South Korea"",""caption"":null,""width"":20,""height"":20,""formats"":null,""hash"":""south_korea_020f586b95"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":6.34,""url"":""https://publsh-cms-staging.s3.amazonaws.com/south_korea_020f586b95.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/1"",""createdAt"":""2023-12-19T07:08:40.813Z"",""updatedAt"":""2023-12-20T17:43:00.277Z""}","true","null","null","2023-12-22T16:06:15.635Z","2023-12-22T18:10:16.271Z"
"272","virgin_radio_drives","{""id"":4,""key"":""radio"",""value"":""Radio"",""createdAt"":""2023-12-12T13:35:22.725Z"",""updatedAt"":""2024-01-06T10:09:35.518Z"",""terms_conditions"":""**# Test for Radio**\n1. First Pointer for Radio\n2. Second Pointer for Radio"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[{""id"":1,""key"":""ads"",""value"":""Ads"",""createdAt"":""2023-12-12T13:36:40.876Z"",""updatedAt"":""2023-12-12T13:36:40.876Z"",""terms_conditions"":null,""video_url"":null}]","DRIVES","3000","[{""id"":21,""key"":""uae"",""value"":""UAE "",""language"":null,""createdAt"":""2023-12-20T00:02:13.393Z"",""updatedAt"":""2023-12-26T11:18:52.022Z"",""order"":null}]","[{""id"":2,""ques_uuid"":""8da138e2-31bc-4db6-aad8-feb830d9578a"",""question"":""Test Attachment"",""input_type"":""file"",""isReady"":true,""createdAt"":""2023-12-18T09:57:31.249Z"",""updatedAt"":""2023-12-18T09:57:31.249Z"",""instructions"":null},{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null}]","true","product","true","[{""id"":1120,""key"":""Timings"",""value"":""05:31-10:00""},{""id"":1121,""key"":""Spot Timings"",""value"":"" Your ads will be played between IN THE MORNING/EVENING DRIVE ONLY.""},{""id"":1122,""key"":""Per Spot Cost"",""value"":""Starting from AED 1,800""}]","[]","[{""id"":2,""key"":""english"",""value"":""English"",""createdAt"":""2023-12-12T14:41:37.071Z"",""updatedAt"":""2023-12-12T14:41:37.071Z"",""order"":null}]","[{""id"":1,""key"":""virgin_dubai"",""value"":""Virgin Radio"",""createdAt"":""2023-12-12T14:09:00.260Z"",""updatedAt"":""2024-01-05T14:43:57.209Z"",""link_url"":null,""new_tab"":null,""order"":null,""isTop"":true}]","[]","null","[]","[]","true","SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE)","null","{""id"":2,""name"":""virgin_dubai.svg"",""alternativeText"":""virgin-dubai"",""caption"":null,""width"":281,""height"":280,""formats"":null,""hash"":""virgin_dubai_1cc57c1b12"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":10.4,""url"":""https://publsh-cms-staging.s3.amazonaws.com/virgin_dubai_1cc57c1b12.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/2"",""createdAt"":""2023-12-18T05:24:26.351Z"",""updatedAt"":""2023-12-18T05:24:26.351Z""}","true","null","null","2024-01-05T07:40:52.239Z","2024-01-05T07:40:52.239Z"
"276","virgin_radio_bmad","{""id"":4,""key"":""radio"",""value"":""Radio"",""createdAt"":""2023-12-12T13:35:22.725Z"",""updatedAt"":""2024-01-06T10:09:35.518Z"",""terms_conditions"":""**# Test for Radio**\n1. First Pointer for Radio\n2. Second Pointer for Radio"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[{""id"":1,""key"":""ads"",""value"":""Ads"",""createdAt"":""2023-12-12T13:36:40.876Z"",""updatedAt"":""2023-12-12T13:36:40.876Z"",""terms_conditions"":null,""video_url"":null}]","BMAD","3000","[{""id"":21,""key"":""uae"",""value"":""UAE "",""language"":null,""createdAt"":""2023-12-20T00:02:13.393Z"",""updatedAt"":""2023-12-26T11:18:52.022Z"",""order"":null}]","[{""id"":2,""ques_uuid"":""8da138e2-31bc-4db6-aad8-feb830d9578a"",""question"":""Test Attachment"",""input_type"":""file"",""isReady"":true,""createdAt"":""2023-12-18T09:57:31.249Z"",""updatedAt"":""2023-12-18T09:57:31.249Z"",""instructions"":null},{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null}]","true","product","true","[{""id"":1133,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":1132,""key"":""Spot Timings"",""value"":""THE SPOTS ARE PLACED EQUALLY ACROSS THE 4 TIME BANDS - MORNING / MID MORNING / AFTERNOON / EVENING""},{""id"":1134,""key"":""Per Spot Cost"",""value"":""Starting from AED 1,200""}]","[]","[{""id"":2,""key"":""english"",""value"":""English"",""createdAt"":""2023-12-12T14:41:37.071Z"",""updatedAt"":""2023-12-12T14:41:37.071Z"",""order"":null}]","[{""id"":1,""key"":""virgin_dubai"",""value"":""Virgin Radio"",""createdAt"":""2023-12-12T14:09:00.260Z"",""updatedAt"":""2024-01-05T14:43:57.209Z"",""link_url"":null,""new_tab"":null,""order"":null,""isTop"":true}]","[]","null","[]","[]","true","SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE)","null","{""id"":2,""name"":""virgin_dubai.svg"",""alternativeText"":""virgin-dubai"",""caption"":null,""width"":281,""height"":280,""formats"":null,""hash"":""virgin_dubai_1cc57c1b12"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":10.4,""url"":""https://publsh-cms-staging.s3.amazonaws.com/virgin_dubai_1cc57c1b12.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/2"",""createdAt"":""2023-12-18T05:24:26.351Z"",""updatedAt"":""2023-12-18T05:24:26.351Z""}","true","null","null","2024-01-05T07:43:08.626Z","2024-01-05T07:43:08.626Z"
"43","virgin_radio_ros","{""id"":4,""key"":""radio"",""value"":""Radio"",""createdAt"":""2023-12-12T13:35:22.725Z"",""updatedAt"":""2024-01-06T10:09:35.518Z"",""terms_conditions"":""**# Test for Radio**\n1. First Pointer for Radio\n2. Second Pointer for Radio"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[{""id"":1,""key"":""ads"",""value"":""Ads"",""createdAt"":""2023-12-12T13:36:40.876Z"",""updatedAt"":""2023-12-12T13:36:40.876Z"",""terms_conditions"":null,""video_url"":null}]","ROS","3000","[{""id"":21,""key"":""uae"",""value"":""UAE "",""language"":null,""createdAt"":""2023-12-20T00:02:13.393Z"",""updatedAt"":""2023-12-26T11:18:52.022Z"",""order"":null}]","[{""id"":2,""ques_uuid"":""8da138e2-31bc-4db6-aad8-feb830d9578a"",""question"":""Test Attachment"",""input_type"":""file"",""isReady"":true,""createdAt"":""2023-12-18T09:57:31.249Z"",""updatedAt"":""2023-12-18T09:57:31.249Z"",""instructions"":null},{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null}]","true","product","true","[{""id"":165,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":166,""key"":""Spot Timings"",""value"":"" Your ads will be played between 06:01-21:00. The spots will be across the day and placed in available bands""},{""id"":167,""key"":""Per Spot Cost"",""value"":""Starting from AED 1,000""}]","[]","[{""id"":2,""key"":""english"",""value"":""English"",""createdAt"":""2023-12-12T14:41:37.071Z"",""updatedAt"":""2023-12-12T14:41:37.071Z"",""order"":null}]","[{""id"":1,""key"":""virgin_dubai"",""value"":""Virgin Radio"",""createdAt"":""2023-12-12T14:09:00.260Z"",""updatedAt"":""2024-01-05T14:43:57.209Z"",""link_url"":null,""new_tab"":null,""order"":null,""isTop"":true}]","[]","null","[]","[]","true","SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE)","null","{""id"":2,""name"":""virgin_dubai.svg"",""alternativeText"":""virgin-dubai"",""caption"":null,""width"":281,""height"":280,""formats"":null,""hash"":""virgin_dubai_1cc57c1b12"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":10.4,""url"":""https://publsh-cms-staging.s3.amazonaws.com/virgin_dubai_1cc57c1b12.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/2"",""createdAt"":""2023-12-18T05:24:26.351Z"",""updatedAt"":""2023-12-18T05:24:26.351Z""}","true","null","null","2023-12-20T14:14:08.475Z","2024-01-05T07:39:27.108Z"
"279","city_101.6_ros","{""id"":4,""key"":""radio"",""value"":""Radio"",""createdAt"":""2023-12-12T13:35:22.725Z"",""updatedAt"":""2024-01-06T10:09:35.518Z"",""terms_conditions"":""**# Test for Radio**\n1. First Pointer for Radio\n2. Second Pointer for Radio"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[{""id"":1,""key"":""ads"",""value"":""Ads"",""createdAt"":""2023-12-12T13:36:40.876Z"",""updatedAt"":""2023-12-12T13:36:40.876Z"",""terms_conditions"":null,""video_url"":null}]","ROS","3000","[{""id"":21,""key"":""uae"",""value"":""UAE "",""language"":null,""createdAt"":""2023-12-20T00:02:13.393Z"",""updatedAt"":""2023-12-26T11:18:52.022Z"",""order"":null}]","[{""id"":2,""ques_uuid"":""8da138e2-31bc-4db6-aad8-feb830d9578a"",""question"":""Test Attachment"",""input_type"":""file"",""isReady"":true,""createdAt"":""2023-12-18T09:57:31.249Z"",""updatedAt"":""2023-12-18T09:57:31.249Z"",""instructions"":null},{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null}]","true","product","true","[{""id"":1141,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":1142,""key"":""Spot Timings"",""value"":"" Your ads will be played between 06:01-21:00. The spots will be across the day and placed in available bands""},{""id"":1143,""key"":""Per Spot Cost"",""value"":""Starting from AED 400""}]","[]","[{""id"":4,""key"":""hindi"",""value"":""Hindi"",""createdAt"":""2023-12-12T14:44:33.028Z"",""updatedAt"":""2023-12-12T14:44:33.028Z"",""order"":null}]","[{""id"":3,""key"":""city_101"",""value"":""City 101.6"",""createdAt"":""2023-12-12T14:10:46.550Z"",""updatedAt"":""2024-01-05T14:42:53.662Z"",""link_url"":null,""new_tab"":null,""order"":null,""isTop"":true}]","[]","null","[]","[]","true","SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE)","null","null","true","null","null","2024-01-05T07:48:46.114Z","2024-01-05T07:50:30.975Z"
"282","al_arabiya_ros","{""id"":4,""key"":""radio"",""value"":""Radio"",""createdAt"":""2023-12-12T13:35:22.725Z"",""updatedAt"":""2024-01-06T10:09:35.518Z"",""terms_conditions"":""**# Test for Radio**\n1. First Pointer for Radio\n2. Second Pointer for Radio"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[{""id"":1,""key"":""ads"",""value"":""Ads"",""createdAt"":""2023-12-12T13:36:40.876Z"",""updatedAt"":""2023-12-12T13:36:40.876Z"",""terms_conditions"":null,""video_url"":null}]","ROS","3000","[{""id"":21,""key"":""uae"",""value"":""UAE "",""language"":null,""createdAt"":""2023-12-20T00:02:13.393Z"",""updatedAt"":""2023-12-26T11:18:52.022Z"",""order"":null}]","[{""id"":2,""ques_uuid"":""8da138e2-31bc-4db6-aad8-feb830d9578a"",""question"":""Test Attachment"",""input_type"":""file"",""isReady"":true,""createdAt"":""2023-12-18T09:57:31.249Z"",""updatedAt"":""2023-12-18T09:57:31.249Z"",""instructions"":null},{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null}]","true","product","true","[{""id"":1150,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":1151,""key"":""Spot Timings"",""value"":""Your ads will be played between 06:01-21:00. The spots will be across the day and placed in available bands""},{""id"":1152,""key"":""Per Spot Cost"",""value"":""Starting from AED 500""}]","[]","[{""id"":3,""key"":""arabic"",""value"":""Arabic"",""createdAt"":""2023-12-12T14:41:47.648Z"",""updatedAt"":""2023-12-12T14:41:47.648Z"",""order"":null}]","[{""id"":8,""key"":""al_arabiya"",""value"":""Al Arabiya"",""createdAt"":""2023-12-12T14:12:28.375Z"",""updatedAt"":""2024-01-05T14:41:49.173Z"",""link_url"":null,""new_tab"":true,""order"":null,""isTop"":true}]","[]","null","[]","[]","true","SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE)","null","null","true","null","null","2024-01-05T07:54:19.192Z","2024-01-05T07:54:19.192Z"
"14","3_interview","{""id"":2,""key"":""online"",""value"":""Online"",""createdAt"":""2023-12-12T13:33:58.187Z"",""updatedAt"":""2023-12-28T07:34:50.005Z"",""terms_conditions"":""**# Test for Online**\n1. First Pointer for online\n2. Second Pointer for online"",""video_url"":null}","[{""id"":3,""key"":""media_interview"",""value"":""Media Interview"",""createdAt"":""2023-12-12T13:38:13.758Z"",""updatedAt"":""2024-01-06T10:11:38.364Z"",""terms_conditions"":""**# Test for Media Interview**\n1. First Pointer for Media Interview\n2. Second Pointer for Media Interview"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}]","3 Interview","4500","[]","[]","true","product","true","[{""id"":39,""key"":"" Total number of Publications shortlisted & Targeted as per your brand:"",""value"":""60""},{""id"":40,""key"":""Guarantee coverage in minimum of three TIER-1 media publications"",""value"":null},{""id"":41,""key"":""Coverage report"",""value"":null},{""id"":42,""key"":""Your interview will be featured in one of your target publications"",""value"":""3""}]","[]","[]","[]","[]","null","[{""id"":446,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T12:41:37.343Z"",""updatedAt"":""2023-12-22T19:00:55.028Z""},{""id"":1046,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-29T13:31:37.896Z"",""updatedAt"":""2023-12-29T13:31:37.896Z""},{""id"":1159,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-30T15:04:57.513Z"",""updatedAt"":""2024-01-02T09:44:43.609Z""}]","[]","null","null","null","null","true","null","null","2023-12-15T01:46:49.650Z","2024-01-13T07:54:48.058Z"
"2","extend_pr_italy","{""id"":1,""key"":""pr_distribution"",""value"":""Press Release Distribution"",""createdAt"":""2023-12-12T13:33:14.515Z"",""updatedAt"":""2024-01-15T11:05:27.791Z"",""terms_conditions"":""**# Test for PR**\n1. First Pointer for PR\n2. Second Pointer for PR"",""video_url"":""https://www.youtube.com/embed/ScMzIvxBSi4?si=67QxDExSOrRlKBY6""}","[]","Extend - Italy","1500","[{""id"":1,""key"":""italy"",""value"":""Italy"",""language"":null,""createdAt"":""2023-12-12T13:53:03.655Z"",""updatedAt"":""2023-12-20T11:24:55.646Z"",""order"":null}]","[{""id"":1,""ques_uuid"":""6c97fc02-eae0-4e57-a3fd-a08ad5baa8a6"",""question"":""Text Question"",""input_type"":""text"",""isReady"":true,""createdAt"":""2023-12-13T15:19:14.070Z"",""updatedAt"":""2023-12-14T15:59:43.099Z"",""instructions"":null},{""id"":3,""ques_uuid"":""ca12e3d0-f873-4dd5-85e1-29e282d8863f"",""question"":""Is your press release ready?"",""input_type"":""file"",""isReady"":true,""createdAt"":""2024-01-15T13:45:04.399Z"",""updatedAt"":""2024-01-15T17:32:34.157Z"",""instructions"":""Download the Briefing form and Upload it after filling all the details\n[https://drive.google.com/uc?export=download&id=e](link)""}]","true","product","true","[{""id"":7,""key"":""Translation of the English press release into Italian"",""value"":null},{""id"":8,""key"":""Sending to targeted media lists"",""value"":null},{""id"":10,""key"":""Distributing via press via news agency (Adnkronos)"",""value"":null},{""id"":9,""key"":""Guaranteed coverage on the leading regional news portals"",""value"":""-""},{""id"":11,""key"":""Total online coverage guarantee"",""value"":"" 10+""},{""id"":12,""key"":""Coverage report"",""value"":null}]","[]","[]","[]","[]","null","[{""id"":314,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-19T13:39:55.297Z"",""updatedAt"":""2023-12-27T15:01:35.079Z""},{""id"":325,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-19T23:02:21.005Z"",""updatedAt"":""2023-12-19T23:02:53.018Z""},{""id"":326,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-19T23:02:42.871Z"",""updatedAt"":""2023-12-19T23:03:03.800Z""},{""id"":346,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-20T08:58:14.870Z"",""updatedAt"":""2023-12-22T14:41:26.241Z""},{""id"":438,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T12:17:59.821Z"",""updatedAt"":""2023-12-22T12:19:42.879Z""},{""id"":449,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T14:17:00.819Z"",""updatedAt"":""2023-12-22T14:41:15.947Z""},{""id"":450,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T14:17:02.394Z"",""updatedAt"":""2023-12-22T14:23:36.417Z""},{""id"":451,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T14:21:13.721Z"",""updatedAt"":""2023-12-22T14:21:13.721Z""},{""id"":472,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T15:04:28.595Z"",""updatedAt"":""2023-12-22T15:04:50.171Z""},{""id"":484,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T15:14:39.871Z"",""updatedAt"":""2023-12-22T15:15:51.593Z""},{""id"":499,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T15:17:10.858Z"",""updatedAt"":""2023-12-22T15:17:10.858Z""},{""id"":509,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T15:21:42.983Z"",""updatedAt"":""2023-12-22T15:21:42.983Z""},{""id"":513,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-22T15:22:04.268Z"",""updatedAt"":""2023-12-22T15:22:04.268Z""},{""id"":718,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-23T12:36:30.566Z"",""updatedAt"":""2023-12-23T12:36:30.566Z""},{""id"":721,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-23T12:37:34.229Z"",""updatedAt"":""2023-12-23T12:37:34.229Z""},{""id"":774,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-27T06:27:54.573Z"",""updatedAt"":""2023-12-27T06:27:54.573Z""},{""id"":901,""isParent"":true,""parent_id"":null,""createdAt"":""2023-12-27T14:00:16.762Z"",""updatedAt"":""2023-12-28T12:54:46.855Z""}]","[{""id"":1,""key"":""europe"",""value"":""Europe"",""createdAt"":""2023-12-12T13:45:30.091Z"",""updatedAt"":""2023-12-13T07:40:46.092Z"",""order"":null}]","null","null","null","{""id"":5,""name"":""italy.svg"",""alternativeText"":""Italy"",""caption"":null,""width"":20,""height"":20,""formats"":null,""hash"":""italy_864c62b7fe"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":0.34,""url"":""https://publsh-cms-staging.s3.amazonaws.com/italy_864c62b7fe.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/1"",""createdAt"":""2023-12-19T07:08:40.392Z"",""updatedAt"":""2023-12-20T17:45:52.625Z""}","true","null","null","2023-12-13T10:03:09.251Z","2023-12-22T18:14:46.603Z"
