id,slug,tactic,sub_tactics,name,price,countries,campaign_briefs,isDefault,type,isActive,product_features,publications,languages,radio_stations,categories,quantity,cart_items,regions,new_tab,product_info,product_detail_url,product_image,isTop,order,description,createdAt,updatedAt
197,press_release_spanish,1,,Translation of press release into Spanish (up to 500 words),150,3,,false,add_on,true,[],,,,,0,,1,true,null,null,null,true,0,null,2023-12-22T19:20:44.230Z,
1,basic_pr_italy,1,,Basic - Italy,1300,1,"1,3",true,product,true,"[{""id"":1,""key"":""Translation of the English press release into Italian"",""value"":""false""},{""id"":2,""key"":""Sending to targeted media lists"",""value"":null},{""id"":3,""key"":""Distributing via press via news agency (Adnkronos)"",""value"":null},{""id"":4,""key"":""Guaranteed coverage on the leading regional news portals"",""value"":""false""},{""id"":5,""key"":""Total online coverage guarantee"",""value"":"" 5+""},{""id"":6,""key"":""Coverage report"",""value"":null}]",,,,,0,"503,517,1012,1276",1,null,null,null,"{""id"":5,""name"":""italy.svg"",""alternativeText"":""Italy"",""caption"":null,""width"":20,""height"":20,""formats"":null,""hash"":""italy_864c62b7fe"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":0.34,""url"":""https://publsh-cms-staging.s3.amazonaws.com/italy_864c62b7fe.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/1"",""createdAt"":""2023-12-19T07:08:40.392Z"",""updatedAt"":""2023-12-20T17:45:52.625Z""}",true,0,null,2023-12-12T15:34:13.875Z,
165,basic_pr_south_korea,1,,Basic - South Korea,850,15,"2,1,3",false,product,true,"[{""id"":674,""key"":""Translation of the English press release into Korean"",""value"":""false""},{""id"":676,""key"":""Sending to targeted media lists"",""value"":null},{""id"":675,""key"":""Sent to major search engines (Google, Naver, Zum, Daum)"",""value"":null},{""id"":677,""key"":""Placement on partnered news sites as syndication"",""value"":""false""},{""id"":680,""key"":""Distribution and placement on Korea NewsWire Newsroom"",""value"":""false""},{""id"":678,""key"":""Total online coverage guarantee"",""value"":"" 50+""},{""id"":679,""key"":""Coverage report"",""value"":null}]",,,,,0,,3,true,null,null,"{""id"":24,""name"":""south-korea.svg"",""alternativeText"":""South Korea"",""caption"":null,""width"":20,""height"":20,""formats"":null,""hash"":""south_korea_020f586b95"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":6.34,""url"":""https://publsh-cms-staging.s3.amazonaws.com/south_korea_020f586b95.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/1"",""createdAt"":""2023-12-19T07:08:40.813Z"",""updatedAt"":""2023-12-20T17:43:00.277Z""}",true,0,null,2023-12-22T16:06:15.635Z,
272,virgin_radio_drives,4,1,DRIVES,3000,21,"2,1",true,product,true,"[{""id"":1120,""key"":""Timings"",""value"":""05:31-10:00""},{""id"":1121,""key"":""Spot Timings"",""value"":"" Your ads will be played between IN THE MORNING/EVENING DRIVE ONLY.""},{""id"":1122,""key"":""Per Spot Cost"",""value"":""Starting from AED 1,800""}]",,2,1,,0,,,true,SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE),null,"{""id"":2,""name"":""virgin_dubai.svg"",""alternativeText"":""virgin-dubai"",""caption"":null,""width"":281,""height"":280,""formats"":null,""hash"":""virgin_dubai_1cc57c1b12"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":10.4,""url"":""https://publsh-cms-staging.s3.amazonaws.com/virgin_dubai_1cc57c1b12.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/2"",""createdAt"":""2023-12-18T05:24:26.351Z"",""updatedAt"":""2023-12-18T05:24:26.351Z""}",true,0,null,2024-01-05T07:40:52.239Z,
276,virgin_radio_bmad,4,1,BMAD,3000,21,"2,1",true,product,true,"[{""id"":1133,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":1132,""key"":""Spot Timings"",""value"":""THE SPOTS ARE PLACED EQUALLY ACROSS THE 4 TIME BANDS - MORNING / MID MORNING / AFTERNOON / EVENING""},{""id"":1134,""key"":""Per Spot Cost"",""value"":""Starting from AED 1,200""}]",,2,1,,0,,,true,SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE),null,"{""id"":2,""name"":""virgin_dubai.svg"",""alternativeText"":""virgin-dubai"",""caption"":null,""width"":281,""height"":280,""formats"":null,""hash"":""virgin_dubai_1cc57c1b12"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":10.4,""url"":""https://publsh-cms-staging.s3.amazonaws.com/virgin_dubai_1cc57c1b12.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/2"",""createdAt"":""2023-12-18T05:24:26.351Z"",""updatedAt"":""2023-12-18T05:24:26.351Z""}",true,0,null,2024-01-05T07:43:08.626Z,
43,virgin_radio_ros,4,1,ROS,3000,21,"2,1",true,product,true,"[{""id"":165,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":166,""key"":""Spot Timings"",""value"":"" Your ads will be played between 06:01-21:00. The spots will be across the day and placed in available bands""},{""id"":167,""key"":""Per Spot Cost"",""value"":""Starting from AED 1,000""}]",,2,1,,0,,,true,SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE),null,"{""id"":2,""name"":""virgin_dubai.svg"",""alternativeText"":""virgin-dubai"",""caption"":null,""width"":281,""height"":280,""formats"":null,""hash"":""virgin_dubai_1cc57c1b12"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":10.4,""url"":""https://publsh-cms-staging.s3.amazonaws.com/virgin_dubai_1cc57c1b12.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/2"",""createdAt"":""2023-12-18T05:24:26.351Z"",""updatedAt"":""2023-12-18T05:24:26.351Z""}",true,0,null,2023-12-20T14:14:08.475Z,
279,city_101.6_ros,4,1,ROS,3000,21,"2,1",true,product,true,"[{""id"":1141,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":1142,""key"":""Spot Timings"",""value"":"" Your ads will be played between 06:01-21:00. The spots will be across the day and placed in available bands""},{""id"":1143,""key"":""Per Spot Cost"",""value"":""Starting from AED 400""}]",,4,3,,0,,,true,SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE),null,null,true,0,null,2024-01-05T07:48:46.114Z,
282,al_arabiya_ros,4,1,ROS,3000,21,"2,1",true,product,true,"[{""id"":1150,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":1151,""key"":""Spot Timings"",""value"":""Your ads will be played between 06:01-21:00. The spots will be across the day and placed in available bands""},{""id"":1152,""key"":""Per Spot Cost"",""value"":""Starting from AED 500""}]",,3,8,,0,,,true,SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE),null,null,true,0,null,2024-01-05T07:54:19.192Z,
14,3_interview,2,3,3 Interview,4500,,,true,product,true,"[{""id"":39,""key"":"" Total number of Publications shortlisted & Targeted as per your brand:"",""value"":""60""},{""id"":40,""key"":""Guarantee coverage in minimum of three TIER-1 media publications"",""value"":null},{""id"":41,""key"":""Coverage report"",""value"":null},{""id"":42,""key"":""Your interview will be featured in one of your target publications"",""value"":""3""}]",,,,,0,"446,1046,1159",,null,null,null,null,true,0,null,2023-12-15T01:46:49.650Z,
2,extend_pr_italy,1,,Extend - Italy,1500,1,"1,3",true,product,true,"[{""id"":7,""key"":""Translation of the English press release into Italian"",""value"":null},{""id"":8,""key"":""Sending to targeted media lists"",""value"":null},{""id"":10,""key"":""Distributing via press via news agency (Adnkronos)"",""value"":null},{""id"":9,""key"":""Guaranteed coverage on the leading regional news portals"",""value"":""-""},{""id"":11,""key"":""Total online coverage guarantee"",""value"":"" 10+""},{""id"":12,""key"":""Coverage report"",""value"":null}]",,,,,0,"314,325,326,346,438,449,450,451,472,484,499,509,513,718,721,774,901",1,null,null,null,"{""id"":5,""name"":""italy.svg"",""alternativeText"":""Italy"",""caption"":null,""width"":20,""height"":20,""formats"":null,""hash"":""italy_864c62b7fe"",""ext"":"".svg"",""mime"":""image/svg+xml"",""size"":0.34,""url"":""https://publsh-cms-staging.s3.amazonaws.com/italy_864c62b7fe.svg"",""previewUrl"":null,""provider"":""aws-s3"",""provider_metadata"":null,""folderPath"":""/1"",""createdAt"":""2023-12-19T07:08:40.392Z"",""updatedAt"":""2023-12-20T17:45:52.625Z""}",true,0,null,2023-12-13T10:03:09.251Z,
285,city_101.6_bmad,4,1,BMAD,3000,21,"2,1",true,product,true,"[{""id"":1159,""key"":""Timings"",""value"":""06:01-21:00""},{""id"":1160,""key"":""Spot Timings"",""value"":""THE SPOTS ARE PLACED EQUALLY ACROSS THE 4 TIME BANDS - MORNING / MID MORNING / AFTERNOON / EVENING""},{""id"":1161,""key"":""Per Spot Cost"",""value"":""Starting from AED 675""}]",,4,3,,0,,,true,SCRIPTING AND PRODUCTION CHARGES FOR THE COMMERCIALS (WILL BE CHARGED BASED ON USAGE),null,null,true,0,null,2024-01-05T07:58:52.403Z,
